title,price
PSA 10 GEM MINT Here Comes Team Rocket! Team Rocket 1st Edition Holo Rare 15 -94,102.50
ðŸ’Ž PSA 10 GEM MINT ðŸ’Ž Moltres & Zapdos & Articuno GX SM210 Stained Glass PokÃ©mon,102.51
2021 ESPEON V Alt Art PSA 10  Pokemon  Sword & Shield Evolving Skies,143.50
PSA Gem Mint 10 2007 Pokemon D & P Secret Wonders #17 Roserade Holo Pop 10,157.50
2000 Pokemon Vintage Dark Blastoise Team Rocket Non Holo Rare #20 PSA 10 Gem,175.14
CGC 10 PRISTINE Mountain Boomer UFO 1st Edition Holo MetaZoo Card 12/165,18.00
PSA 10 2008 Pokemon Diamond & Pearl Great Encounters Sceptile 8/106 Card SWIRL!,180.55
PSA 10 - 2000 Pokemon Rocket Dark Blastoise 1st Edition Rare Non-Holo - GEM MINT,182.50
ðŸ’Ž PSA 10 GEM MINT ðŸ’Ž Shiny Dragapult VMAX SWSH097 Shining Fates 2021 Promo Card,19.50
PSA 10 GEM MT Rillaboom Full Art Gold #197 - 2020 Pokemon Darkness Ablaze Secret,19.50
CGC 10 PERFECT Static Snow Stone UFO 1st Edition Holo MetaZoo Card 29/165,20.50
CGC 10 PERFECT Glistening Beachrock UFO 1st Edition Holo MetaZoo Card 31/165,20.50
PSA 10 GEM MINT 2000 Topps Chrome Pokemon TV Set SERIES 2 #149 Dragonite,217.50
CGC 10 PERFECT Omen Street Orb UFO 1st Edition Holo MetaZoo Card 34/165,22.50
CGC 10 PERFECT The Levelland Rocket UFO 1st Edition Full Holo MetaZoo Card 6/165,23.50
CGC 10 PERFECT Drowned Sea Orb UFO 1st Edition Holo MetaZoo Card 38/165,23.50
ðŸ’Ž PSA 10 GEM MINT ðŸ’Ž Shiny Ditto V SV118/SV122 Shining Fates 2021 Pokemon Card,28.00
Pokemon Gym Challenge #11 - Lt. Surge's Raichu - Holo - 1st Edition PSA 10!,300.00
Pokemon Card PSA 10 Gem Mint Treecko Stormfront 2008 Non Holo 79/100,31.00
1999 PokÃ©mon Fossil 1st Edition Magneton 11/62 Holo GEM MINT PSA 10,311.00
2000 Pokemon Neo Genesis 1st Edition Pokemon March 102/111 PSA 10 Gem Mint,32.00
CGC 10 PERFECT Lechuza UFO 1st Edition Full Holo MetaZoo Card 9/165,32.00
Pokemon Alakazam Shadowless Base Set 1999 Holo 1/102 - CGC 9 MINT,325.00
PSA 10 GEM MINT Rayquaza VMAX SILVER TEMPEST TG29 GOLD RARE Pokemon Card,37.00
ðŸ’Ž PSA 10 GEM MINT ðŸ’Ž Shiny Radiant Charizard Japanese 015/172 VSTAR Universe,38.00
CGC 10 PERFECT Forest Friends UFO 1st Edition Holo MetaZoo Card 22/165,38.75
Quilava PSA 10 46/111 1st Edition Neo Genesis Non Holo Pokemon Card Psa 10,40.00
CGC 10 PERFECT Ogua UFO 1st Edition Holo MetaZoo Card 18/165,41.00
PokÃ©mon TCG Eevee Baby Shiny Hidden Fates SV41/SV94 Shiny Vault Holo PSA 10 Slab,45.00
2000 Pokemon Rocket Dark Dragonite Non Holo 1st Edition PSA 10 GEM MINT #22/82,455.00
2000 POKEMON NEO GENESIS 1ST EDITION HOLO STEELIX #15 PSA 10 GEM MINT,475.00
ðŸŸ Pokemon Card PSA 10 Gem Mint Dugtrio Topps Chrome 2000 Holo #51ðŸŸ ,49.78
PokÃ©mon 1st Edition Aerodactyl Holo PSA 10 - Fossil - 1999,579.00
Pokemon PSA 10 Gem Mint Raichu & Alolan Raichu GX 2019 Unified Minds 54/236 D,59.00
Pokemon CGC Cradily Delta Holo Holon Phantoms 2/110 - CGC 9.5 ERROR card,61.00
ðŸ’Ž PSA 10 GEM MINT ðŸ’Ž Shiny Metagross GX 157a/145 Hidden Fates PokÃ©mon Card,61.99
1999 Pokemon Base Set 1st Edition Shadowless #9 MAGNETON Holo PSA 9 Mint 9/102,610.00
PSA 10 GEM MINT Umbreon 13/75 1st Edition HOLO RARE Pokemon Card CS21-760,6766.66
Pokemon Gengar ex Holo FireRed Leafgreen 108/112 - CGC 9 MINT,716.00
CGC 10 PRISTINE Sparky Slushy UFO 1st Edition Holo MetaZoo Card 23/165  -1,8.50
